time [sec],V [mV],I [mA]
0.0,3147.681,5.073
0.04,3150.853,-311.9
0.06,3155.8,-791.869
0.08,3160.672,-1234.197
0.1,3164.445,-1547.772
0.13,3167.704,-1777.752
0.34,3170.774,-1746.779
0.9,3173.818,-1749.45
1.7,3176.854,-1749.675
2.47,3179.898,-1749.853
3.33,3182.903,-1749.413
4.48,3185.927,-1750.111
5.42,3188.957,-1749.838
6.54,3192.057,-1749.534
7.67,3195.067,-1749.943
8.73,3198.103,-1749.793
9.75,3201.148,-1749.675
11.26,3204.248,-1750.133
12.5,3207.27,-1750.395
13.63,3210.367,-1749.68
15.02,3213.381,-1750.051
16.4,3216.403,-1749.932
17.67,3219.415,-1749.849
19.07,3222.425,-1749.602
20.51,3225.518,-1749.771
21.92,3228.523,-1749.587
23.25,3231.543,-1749.525
24.76,3234.593,-1749.671
26.23,3237.594,-1749.803
27.74,3240.607,-1749.791
29.17,3243.611,-1749.413
30.81,3246.655,-1749.22
32.45,3249.711,-1749.417
34.01,3252.771,-1750.188
35.69,3255.771,-1749.852
37.06,3258.841,-1750.095
38.89,3261.885,-1749.646
40.66,3264.948,-1750.039
42.44,3267.956,-1749.844
44.09,3270.983,-1749.89
45.91,3274.004,-1749.407
47.68,3277.087,-1749.874
49.69,3280.122,-1749.477
51.5,3283.195,-1749.733
53.31,3286.227,-1749.796
55.27,3289.295,-1749.474
56.99,3292.347,-1749.514
59.25,3295.358,-1749.544
60.99,3298.363,-1749.995
63.09,3301.374,-1749.687
65.11,3304.374,-1749.858
67.1,3307.394,-1749.606
69.16,3310.405,-1749.85
71.43,3313.433,-1749.803
73.4,3316.477,-1749.521
75.66,3319.534,-1749.783
77.99,3322.548,-1749.716
80.21,3325.562,-1749.854
82.17,3328.628,-1749.616
84.75,3331.685,-1750.282
86.92,3334.689,-1749.563
89.34,3337.769,-1749.897
91.64,3340.827,-1749.94
94.04,3343.835,-1749.783
96.45,3346.839,-1749.904
98.88,3349.847,-1749.963
101.44,3352.855,-1749.806
103.7,3355.89,-1749.66
106.34,3358.924,-1749.79
109.25,3361.96,-1750.066
111.51,3364.965,-1749.358
114.15,3368.01,-1749.939
117.03,3371.043,-1749.563
119.61,3374.096,-1749.737
122.27,3377.123,-1750.022
124.86,3380.143,-1749.83
127.97,3383.158,-1749.805
130.84,3386.176,-1749.333
133.62,3389.217,-1749.918
136.31,3392.237,-1749.644
139.38,3395.27,-1749.725
142.29,3398.273,-1749.663
145.04,3401.298,-1749.377
148.05,3404.315,-1750.112
151.06,3407.37,-1749.818
154.58,3410.408,-1749.566
157.68,3413.456,-1749.776
160.7,3416.499,-1749.763
164.15,3419.504,-1749.986
167.26,3422.529,-1749.652
170.34,3425.55,-1749.741
173.73,3428.596,-1749.774
177.06,3431.65,-1749.563
180.66,3434.721,-1749.753
183.89,3437.735,-1749.674
187.46,3440.752,-1749.684
191.14,3443.774,-1749.711
194.53,3446.795,-1749.829
198.18,3449.852,-1749.579
201.57,3452.909,-1749.816
205.19,3455.923,-1750.063
208.97,3458.93,-1749.424
212.59,3461.93,-1750.13
216.23,3464.942,-1749.436
219.97,3468.005,-1749.789
224.16,3471.056,-1750.038
227.75,3474.071,-1749.602
231.55,3477.151,-1749.813
235.9,3480.201,-1749.727
239.96,3483.224,-1749.738
243.97,3486.28,-1749.516
247.85,3489.292,-1749.524
252.11,3492.32,-1749.81
256.4,3495.349,-1749.627
260.19,3498.36,-1749.442
264.58,3501.385,-1749.898
269.2,3504.414,-1749.673
272.91,3507.46,-1749.463
277.51,3510.491,-1750.38
282.07,3513.511,-1749.839
286.42,3516.543,-1749.994
291.01,3519.544,-1749.384
295.28,3522.579,-1749.52
299.59,3525.589,-1749.429
304.29,3528.598,-1749.539
308.79,3531.628,-1750.01
313.69,3534.647,-1749.368
318.53,3537.667,-1749.786
323.16,3540.669,-1749.393
327.83,3543.694,-1749.826
332.63,3546.715,-1749.709
337.87,3549.721,-1749.847
342.9,3552.739,-1750.054
347.56,3555.751,-1749.718
352.61,3558.761,-1749.809
357.54,3561.774,-1749.531
362.62,3564.821,-1749.849
368.03,3567.837,-1749.685
373.05,3570.853,-1749.619
378.58,3573.881,-1749.217
383.82,3576.941,-1749.922
389.35,3580.018,-1749.694
394.75,3583.034,-1749.861
400.43,3586.094,-1749.654
406.14,3589.098,-1749.673
