Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.8164e-003,1.4516e-002
7.900e+004,6.5894e-003,1.1667e-002
6.300e+004,6.3745e-003,9.4743e-003
5.000e+004,6.1990e-003,7.7312e-003
4.000e+004,6.0198e-003,6.3636e-003
3.200e+004,5.8522e-003,5.2343e-003
2.500e+004,5.6722e-003,4.2439e-003
2.000e+004,5.5261e-003,3.5179e-003
1.600e+004,5.3788e-003,2.9044e-003
1.300e+004,5.2672e-003,2.4152e-003
1.000e+004,5.1366e-003,1.8941e-003
7.900e+003,5.0403e-003,1.4899e-003
6.300e+003,4.9880e-003,1.1458e-003
5.000e+003,4.9532e-003,8.4680e-004
4.000e+003,4.9462e-003,5.9236e-004
3.200e+003,4.9514e-003,3.7768e-004
2.500e+003,4.9964e-003,1.6990e-004
2.000e+003,5.0468e-003,1.9647e-005
1.600e+003,5.1041e-003,-1.1756e-004
1.300e+003,5.1682e-003,-2.2791e-004
1.000e+003,5.2589e-003,-3.4100e-004
7.899e+002,5.3560e-003,-4.2094e-004
6.301e+002,5.4539e-003,-4.8867e-004
5.000e+002,5.5510e-003,-5.5438e-004
4.000e+002,5.6441e-003,-6.0451e-004
3.200e+002,5.7504e-003,-6.4654e-004
2.500e+002,5.8593e-003,-6.9917e-004
2.000e+002,5.9662e-003,-7.5345e-004
1.600e+002,6.0751e-003,-7.8203e-004
1.300e+002,6.1866e-003,-8.2207e-004
1.000e+002,6.3329e-003,-8.7909e-004
7.900e+001,6.4576e-003,-9.1130e-004
6.300e+001,6.6000e-003,-9.6455e-004
5.000e+001,6.7359e-003,-1.0076e-003
4.000e+001,6.8876e-003,-1.0610e-003
3.200e+001,7.0473e-003,-1.0972e-003
2.500e+001,7.2398e-003,-1.1609e-003
2.000e+001,7.4315e-003,-1.1937e-003
1.600e+001,7.6233e-003,-1.2093e-003
1.300e+001,7.7932e-003,-1.2290e-003
1.000e+001,8.0557e-003,-1.2367e-003
7.900e+000,8.2912e-003,-1.2150e-003
6.300e+000,8.4907e-003,-1.1588e-003
5.000e+000,8.6886e-003,-1.0817e-003
4.000e+000,8.8440e-003,-1.0019e-003
3.200e+000,8.9898e-003,-9.2288e-004
2.500e+000,9.0976e-003,-8.4048e-004
2.000e+000,9.2135e-003,-8.0273e-004
1.600e+000,9.2942e-003,-7.5008e-004
1.300e+000,9.3931e-003,-7.1625e-004
1.000e+000,9.4553e-003,-6.8596e-004
7.900e-001,9.5561e-003,-6.8636e-004
6.300e-001,9.6095e-003,-6.7987e-004
5.000e-001,9.6875e-003,-7.1480e-004
4.000e-001,9.7779e-003,-7.4168e-004
3.200e-001,9.8351e-003,-7.8989e-004
2.500e-001,9.9389e-003,-8.4434e-004
2.000e-001,1.0028e-002,-9.2329e-004
1.600e-001,1.0104e-002,-9.9712e-004
1.300e-001,1.0210e-002,-1.1138e-003
1.000e-001,1.0361e-002,-1.2483e-003
7.900e-002,1.0508e-002,-1.4198e-003
6.300e-002,1.0648e-002,-1.6094e-003
5.000e-002,1.0827e-002,-1.8280e-003
4.000e-002,1.0984e-002,-2.0748e-003
3.200e-002,1.1197e-002,-2.3857e-003
2.500e-002,1.1455e-002,-2.7988e-003
2.000e-002,1.1722e-002,-3.2200e-003
1.600e-002,1.2036e-002,-3.7067e-003
1.300e-002,1.2375e-002,-4.2468e-003
1.000e-002,1.2951e-002,-5.0399e-003
