Frequency[Hz],Z_real[ohm],Z_img[ohm]
1.000e+005,6.7754e-003,1.5634e-002
7.900e+004,6.4997e-003,1.2533e-002
6.300e+004,6.2896e-003,1.0200e-002
5.000e+004,6.0999e-003,8.2738e-003
4.000e+004,5.9314e-003,6.7628e-003
3.200e+004,5.7741e-003,5.5578e-003
2.500e+004,5.6130e-003,4.4943e-003
2.000e+004,5.4862e-003,3.7062e-003
1.600e+004,5.3419e-003,3.0528e-003
1.300e+004,5.2297e-003,2.5480e-003
1.000e+004,5.1034e-003,1.9938e-003
7.900e+003,5.0054e-003,1.5730e-003
6.300e+003,4.9420e-003,1.2171e-003
5.000e+003,4.9081e-003,9.0710e-004
4.000e+003,4.8975e-003,6.4629e-004
3.200e+003,4.9091e-003,4.1819e-004
2.500e+003,4.9472e-003,1.9946e-004
2.000e+003,4.9976e-003,3.3686e-005
1.600e+003,5.0596e-003,-1.0714e-004
1.300e+003,5.1205e-003,-2.1945e-004
1.000e+003,5.2185e-003,-3.3676e-004
7.899e+002,5.3054e-003,-4.2497e-004
6.301e+002,5.4099e-003,-4.9693e-004
5.000e+002,5.5096e-003,-5.6441e-004
4.000e+002,5.6075e-003,-6.0912e-004
3.200e+002,5.7137e-003,-6.6060e-004
2.500e+002,5.8302e-003,-7.1088e-004
2.000e+002,5.9378e-003,-7.5388e-004
1.600e+002,6.0499e-003,-7.9730e-004
1.300e+002,6.1654e-003,-8.3269e-004
1.000e+002,6.3178e-003,-8.7864e-004
7.900e+001,6.4490e-003,-9.1572e-004
6.300e+001,6.5937e-003,-9.6023e-004
5.000e+001,6.7425e-003,-9.9616e-004
4.000e+001,6.8972e-003,-1.0366e-003
3.200e+001,7.0387e-003,-1.0629e-003
2.500e+001,7.2391e-003,-1.1060e-003
2.000e+001,7.4239e-003,-1.1221e-003
1.600e+001,7.6021e-003,-1.1185e-003
1.300e+001,7.7727e-003,-1.1127e-003
1.000e+001,7.9951e-003,-1.0935e-003
7.900e+000,8.1908e-003,-1.0567e-003
6.300e+000,8.3565e-003,-1.0034e-003
5.000e+000,8.5194e-003,-9.2124e-004
4.000e+000,8.6488e-003,-8.6078e-004
3.200e+000,8.7594e-003,-7.8927e-004
2.500e+000,8.8580e-003,-7.2868e-004
2.000e+000,8.9539e-003,-6.9434e-004
1.600e+000,9.0321e-003,-6.5748e-004
1.300e+000,9.0715e-003,-6.3148e-004
1.000e+000,9.1550e-003,-6.1391e-004
7.900e-001,9.2334e-003,-6.2048e-004
6.300e-001,9.3089e-003,-6.5188e-004
5.000e-001,9.3855e-003,-6.4837e-004
4.000e-001,9.4394e-003,-6.8679e-004
3.200e-001,9.5381e-003,-7.5229e-004
2.500e-001,9.6125e-003,-8.0388e-004
2.000e-001,9.6775e-003,-8.8876e-004
1.600e-001,9.7723e-003,-9.8499e-004
1.300e-001,9.9179e-003,-1.0669e-003
1.000e-001,1.0015e-002,-1.2329e-003
7.900e-002,1.0159e-002,-1.3863e-003
6.300e-002,1.0297e-002,-1.5732e-003
5.000e-002,1.0450e-002,-1.7928e-003
4.000e-002,1.0622e-002,-2.0406e-003
3.200e-002,1.0850e-002,-2.3265e-003
2.500e-002,1.1088e-002,-2.7056e-003
2.000e-002,1.1362e-002,-3.1215e-003
1.600e-002,1.1672e-002,-3.6068e-003
1.300e-002,1.2039e-002,-4.1179e-003
1.000e-002,1.2577e-002,-4.8638e-003
